ROUTEID,ROUTENAME,ROADTYPE,SUBBLOCKKEY,BIKELANE_PARKINGLANE_ADJACENT,BIKELANE_THROUGHLANE_ADJACENT,BIKELANE_POCKETLANE_ADJACENT,BIKELANE_CONTRAFLOW,BIKELANE_CONVENTIONAL,BIKELANE_DUAL_PROTECTED,BIKELANE_DUAL_BUFFERED,BIKELANE_PROTECTED,BIKELANE_BUFFERED,SUBBLOCKID,BLOCKID,BLOCKKEY,QUADRANT,STREETNAME,STREETTYPE,TOTALBIKELANES,TOTALBIKELANEWIDTH,WARD_ID,SMD_ID,ANC_ID,OBJECTID,SHAPELEN
11000302,3RD ST NW,1,9ad16a536e3a8edb388ec0ce951c5e63,IB,IB,,,IB,,,,,11000302-11000302_47015042-11000302_11065452_11079882,11000302-11000302_11076242-11000302_11065452_11079882,d24a9caf2b4db11382b6172d41484fe5,1,3RD,ST,1,5,4,4B03,4B,7983267,0
11000302,3RD ST NW,1,22c1ec2999731a290796fb9664491948,BD,BD,,,BD,,,,,11000302-11000302_11087422-11000302_11088792,11000302-11000302_11087422-11000302_11088792,22c1ec2999731a290796fb9664491948,1,3RD,ST,2,10,4,4B03,4B,7983268,0
11000302,3RD ST NW,1,62ee7cc40df1189eb13995b3a1b44812,IB,IB,,,IB,,,,,11000302-11000302_11076242-11000302_47015042,11000302-11000302_11076242-11000302_11065452_11079882,d24a9caf2b4db11382b6172d41484fe5,1,3RD,ST,1,5,4,4B03,4B,7983278,0
11000302,3RD ST NW,1,2445dcb917e30b8935246eb42189a665,BD,BD,,,BD,,,,,11000302-11000302_11086842-11000302_58023592,11000302-11000302_11086842-11000302_11087422,4cb5ba2ff947bbbb82770ea071f63ae3,1,3RD,ST,2,10,4,4B03,4B,7983281,0
11000402,4TH ST NW,1,b22b48d2121c0b6a39eba7f64b1c0616,,,,,,,,,BD,11000402-11000402_11046672_11060182-11000402_58026152,11000402-11000402_11046672_11060182-11000402_11000502,6c8be491961158e54cfb45a12929451f,1,4TH,ST,2,10,1,1E05,1E,7983439,0
11000402,4TH ST NW,1,8482913384fe5a5d6e7a3da4f93deb3f,,,,,,,,BD,,11000402-11000402_14000402-11000402_61063402,11000402-11000402_14000402-11000402_11058242,5b32499546e4ebbf9745e80549918931,1,4TH,ST,2,14,2,2C03,2C,7983443,0
11000402,4TH ST NW,1,7eff870e38d4c76c1df1f08e827fa4ca,,,,,,,,,OB,11000402-11000402_11090152-11000402_11018722,11000402-11000402_11090152-11000402_11018722,7eff870e38d4c76c1df1f08e827fa4ca,1,4TH,ST,1,5,1,1E07,1E,7983453,0
11000402,4TH ST NW,1,5b02485e9927a33a1933a369de2f8a84,OB,OB,,,OB,,,,,11000402-11000402_11024372-11000402_11046672_11060182,11000402-11000402_11024372-11000402_11046672_11060182,5b02485e9927a33a1933a369de2f8a84,1,4TH,ST,2,10,1,1E05,1E,7983458,0
11000302,3RD ST NW,1,62cd96d7bcd68d42f2d13529e19f542f,BD,BD,,,BD,,,,,11000302-11000302_11065452_11079882-11000302_11086842,11000302-11000302_11065452_11079882-11000302_11086842,62cd96d7bcd68d42f2d13529e19f542f,1,3RD,ST,2,10,4,4B03,4B,7983471,0
11000302,3RD ST NW,1,d081925203c66b3355c3d80f0b238671,BD,BD,,,BD,,,,,11000302-11000302_58023592-11000302_11087422,11000302-11000302_11086842-11000302_11087422,4cb5ba2ff947bbbb82770ea071f63ae3,1,3RD,ST,2,10,4,4B03,4B,7983481,0
